,size,n,dt,dx,a,xmed,stdvar,skew,iter,time,program_time,a_real,xmod_real,stdvar_real,skew_real,real_time
120,400,1024,1.0000000000000001e-20,0.3906,100.0,20.00025364,5.04047649,0.0,55067,5.507000000000001e-16,19.1051185131,100.0,20.00020596,5.04047639,0.0,2.1739558455e-14
121,400,1024,5e-20,0.3906,100.0,20.00243282,5.04048088,0.0,11014,5.507000000000001e-16,3.8547775745,100.0,20.00238535,5.04048079,0.0,2.1740742907e-14
122,400,1024,1e-19,0.3906,100.0,20.00243282,5.04048088,0.0,5507,5.507000000000001e-16,1.9015908241,100.0,20.00238535,5.04048079,0.0,2.1740742907e-14
123,400,1024,5e-19,0.3906,100.0,20.02422459,5.04052482,0.0,1102,5.51e-16,0.39155578609999997,100.0,20.02417921,5.04052473,0.0,2.1752587405e-14
124,400,1024,1e-18,0.3906,100.0,20.02422459,5.04052482,0.0,551,5.51e-16,0.19581389429999999,100.0,20.02417921,5.04052473,0.0,2.1752587405e-14
125,400,1024,5e-18,0.3906,100.0,20.31478158,5.04111293,0.0,111,5.549999999999999e-16,0.0412533283,100.0,20.31473825,5.04111284,0.0,2.1910502297e-14
126,400,1024,1e-17,0.3906,100.0,20.67797781,5.04185395,0.0,56,5.599999999999999e-16,0.021742105499999997,100.0,20.67793087,5.04185386,0.0,2.2107893135e-14
127,400,1024,5e-17,0.3906,100.0,23.58354765,5.04801716,0.0,12,6e-16,0.0046594143,100.0,23.58350164,5.04801706,0.0,2.368703275e-14
128,400,1024,1e-16,0.3906,100.0,23.58354765,5.04801716,0.0,6,6e-16,0.0025031567,100.0,23.58350164,5.04801706,0.0,2.368703275e-14
129,400,1024,5e-16,0.3906,100.0,52.63924609,5.13227187,0.0,2,9.999999999999999e-16,0.0011425018,99.99998933,52.63922166,5.14204862,-0.09692744,3.9478944226e-14
130,400,2048,1.0000000000000001e-20,0.1953,100.0,20.00025364,5.04047649,0.0,55067,5.507000000000001e-16,26.7801167965,100.0,20.00020596,5.04047639,0.0,2.1739558455e-14
131,400,2048,5e-20,0.1953,100.0,20.00243282,5.04048088,0.0,11014,5.507000000000001e-16,5.3057777882,100.0,20.00238535,5.04048079,0.0,2.1740742907e-14
132,400,2048,1e-19,0.1953,100.0,20.00243282,5.04048088,0.0,5507,5.507000000000001e-16,2.679336071,100.0,20.00238535,5.04048079,0.0,2.1740742907e-14
133,400,2048,5e-19,0.1953,100.0,20.02422459,5.04052482,0.0,1102,5.51e-16,0.5407803059,100.0,20.02417921,5.04052473,0.0,2.1752587405e-14
134,400,2048,1e-18,0.1953,100.0,20.02422459,5.04052482,0.0,551,5.51e-16,0.2701919079,100.0,20.02417921,5.04052473,0.0,2.1752587405e-14
135,400,2048,5e-18,0.1953,100.0,20.31478158,5.04111293,0.0,111,5.549999999999999e-16,0.0573785305,100.0,20.31473825,5.04111284,0.0,2.1910502297e-14
136,400,2048,1e-17,0.1953,100.0,20.67797781,5.04185395,0.0,56,5.599999999999999e-16,0.03186059,100.0,20.67793087,5.04185386,0.0,2.2107893135e-14
137,400,2048,5e-17,0.1953,100.0,23.58354765,5.04801716,0.0,12,6e-16,0.0064275265,100.0,23.58350164,5.04801706,0.0,2.368703275e-14
138,400,2048,1e-16,0.1953,100.0,23.58354765,5.04801716,0.0,6,6e-16,0.0035836696999999996,100.0,23.58350164,5.04801706,0.0,2.368703275e-14
139,400,2048,5e-16,0.1953,100.0,52.63924609,5.13227187,0.0,2,9.999999999999999e-16,0.0016245842000000002,99.99998933,52.63922166,5.14204862,-0.09692744,3.9478944226e-14
140,400,4096,1.0000000000000001e-20,0.09766,100.0,20.00025364,5.04047649,0.0,55067,5.507000000000001e-16,42.6304545403,100.0,20.00020596,5.04047639,0.0,2.1739558455e-14
141,400,4096,5e-20,0.09766,100.0,20.00243282,5.04048088,0.0,11014,5.507000000000001e-16,8.396392822300001,100.0,20.00238535,5.04048079,0.0,2.1740742907e-14
142,400,4096,1e-19,0.09766,100.0,20.00243282,5.04048088,0.0,5507,5.507000000000001e-16,4.2183127403,100.0,20.00238535,5.04048079,0.0,2.1740742907e-14
143,400,4096,5e-19,0.09766,100.0,20.02422459,5.04052482,0.0,1102,5.51e-16,0.8500852584999999,100.0,20.02417921,5.04052473,0.0,2.1752587405e-14
144,400,4096,1e-18,0.09766,100.0,20.02422459,5.04052482,0.0,551,5.51e-16,0.4289851189,100.0,20.02417921,5.04052473,0.0,2.1752587405e-14
145,400,4096,5e-18,0.09766,100.0,20.31478158,5.04111293,0.0,111,5.549999999999999e-16,0.0900552273,100.0,20.31473825,5.04111284,0.0,2.1910502297e-14
146,400,4096,1e-17,0.09766,100.0,20.67797781,5.04185395,0.0,56,5.599999999999999e-16,0.0480053425,100.0,20.67793087,5.04185386,0.0,2.2107893135e-14
147,400,4096,5e-17,0.09766,100.0,23.58354765,5.04801716,0.0,12,6e-16,0.0104148388,100.0,23.58350164,5.04801706,0.0,2.368703275e-14
148,400,4096,1e-16,0.09766,100.0,23.58354765,5.04801716,0.0,6,6e-16,0.0057048798,100.0,23.58350164,5.04801706,0.0,2.368703275e-14
149,400,4096,5e-16,0.09766,100.0,52.63924609,5.13227187,0.0,2,9.999999999999999e-16,0.0026500225,99.99998933,52.63922166,5.14204862,-0.09692744,3.9478944226e-14
150,550,256,1.0000000000000001e-20,2.148,100.0,20.00003015,10.22723615,0.0,770654,7.707e-15,174.3641326427,100.0,19.99998245,5.04047594,0.0,2.173943698e-14
151,550,256,5e-20,2.148,100.0,20.00008205,10.22724625,0.0,154131,7.707e-15,34.9201025963,100.0,20.00003436,5.04047605,0.0,2.1739465191e-14
