size,n,dt,dx,a,xmed,stdvar,skew,iter,time,program_time,a_real,xmod_real,stdvar_real,skew_real,real_time
850,256,5.0e-18,3.320e+00,100.00000000,20.01326077,9.31753437,-0.73047659,2768,1.384e-14,1.1548168659,100.00000000,20.01325897,5.04050271,-0.00000000,2.1746648437e-14
850,256,1.0e-17,3.320e+00,100.00000000,20.01160072,9.31763850,-0.73040081,1384,1.384e-14,0.5125448704,100.00000000,20.01160587,5.04049938,0.00000000,2.1745750000e-14
850,256,5.0e-17,3.320e+00,100.00000000,20.13179176,9.34975457,-0.73187901,278,1.390e-14,0.1501717567,100.00000000,20.13179352,5.04074206,0.00000000,2.1811070312e-14
850,256,1.0e-16,3.320e+00,100.00000000,20.25387376,9.40816261,-0.73068611,140,1.400e-14,0.0631632805,100.00000000,20.25387864,5.04098931,0.00000000,2.1877421875e-14
850,512,1.0e-19,1.660e+00,100.00000000,20.00036223,6.54937523,-0.10494100,68715,6.871e-15,52.1366746426,100.00000000,20.00036478,5.04047671,0.00000000,2.1739640625e-14
850,512,5.0e-19,1.660e+00,100.00000000,20.00143011,6.54945864,-0.10495180,13745,6.873e-15,10.8698015213,100.00000000,20.00142852,5.04047886,-0.00000000,2.1740218750e-14
850,512,1.0e-18,1.660e+00,100.00000000,20.00403956,6.54966961,-0.10497863,6874,6.874e-15,5.4330782890,100.00000000,20.00404473,5.04048413,-0.00000000,2.1741640625e-14
850,512,5.0e-18,1.660e+00,100.00000000,20.01186228,6.55125156,-0.10511732,1377,6.885e-15,1.1710209846,100.00000000,20.01186462,5.04049990,0.00000000,2.1745890625e-14
850,512,1.0e-17,1.660e+00,100.00000000,20.01084205,6.55445373,-0.10530730,690,6.900e-15,0.6170394421,100.00000000,20.01084401,5.04049784,0.00000000,2.1745335937e-14
850,512,5.0e-17,1.660e+00,100.00000000,20.03651146,6.65976283,-0.11100890,143,7.150e-15,0.1833000183,100.00000000,20.03650301,5.04054959,-0.00000000,2.1759281250e-14
850,512,1.0e-16,1.660e+00,100.00000000,20.21653455,6.98245997,-0.11988769,78,7.800e-15,0.1263360977,100.00000000,20.21653293,5.04091360,-0.00000000,2.1857125000e-14
850,1024,1.0e-19,8.301e-01,100.00000000,20.00091208,5.32466273,0.02753209,32849,3.285e-15,73.3646090031,100.00000000,20.00091102,5.04047781,0.00000000,2.1739937500e-14
850,1024,5.0e-19,8.301e-01,100.00000000,20.00437620,5.32470004,0.02753315,6572,3.286e-15,15.9509248734,100.00000000,20.00437535,5.04048480,0.00000000,2.1741820312e-14
850,1024,1.0e-18,8.301e-01,100.00000000,20.00378474,5.32463697,0.02754180,3287,3.287e-15,7.8517212868,100.00000000,20.00378598,5.04048361,-0.00000000,2.1741500000e-14
850,1024,5.0e-18,8.301e-01,100.00000000,20.04572795,5.32357663,0.02779061,660,3.300e-15,2.1706035137,100.00000000,20.04573163,5.04056821,-0.00000000,2.1764296875e-14
850,1024,1.0e-17,8.301e-01,100.00000000,20.10818767,5.31920390,0.02860513,332,3.320e-15,1.1980416775,100.00000000,20.10819011,5.04069434,-0.00000000,2.1798242187e-14
850,2048,1.0e-19,4.150e-01,100.00000000,20.00018764,5.72860657,0.00058399,28113,2.811e-15,220.2219812870,100.00000000,20.00019228,5.04047637,-0.00000000,2.1739546875e-14
850,2048,5.0e-19,4.150e-01,100.00000000,20.00127235,5.72905681,0.00057677,5628,2.814e-15,44.2857272625,100.00000000,20.00127039,5.04047854,-0.00000000,2.1740132812e-14
850,2048,1.0e-18,4.150e-01,100.00000000,20.01262208,5.73073195,0.00055112,2823,2.823e-15,24.9974470139,100.00000000,20.01261211,5.04050140,-0.00000000,2.1746296875e-14
850,2048,5.0e-18,4.150e-01,100.00000000,20.00693760,5.76854543,0.00005801,617,3.085e-15,7.9193239212,100.00000000,20.00693406,5.04048996,-0.00000000,2.1743210937e-14
850,4096,1.0e-19,2.075e-01,100.00000000,20.00232120,5.00521704,0.00341663,7441,7.441e-16,230.9985432625,100.00000000,20.00231975,5.04048065,0.00000000,2.1740703125e-14
850,4096,5.0e-19,2.075e-01,100.00000000,20.01077404,5.00499044,0.00346314,1492,7.460e-16,63.0193057060,100.00000000,20.01077213,5.04049769,0.00000000,2.1745296875e-14
850,4096,1.0e-18,2.075e-01,100.00000000,20.04027249,5.00432132,0.00360426,752,7.520e-16,42.1123967171,100.00000000,20.04026921,5.04055719,-0.00000000,2.1761328125e-14
1000,256,1.0e-19,3.906e+00,100.00000000,20.00000495,27.83798745,-0.54083492,291159,2.912e-14,125.3074719906,100.00000000,20.00000541,5.04047599,0.00000000,2.1739445312e-14
1000,256,5.0e-19,3.906e+00,100.00000000,20.00041690,27.83826478,-0.54083563,58234,2.912e-14,22.7037556171,100.00000000,20.00042228,5.04047683,0.00000000,2.1739671875e-14
1000,256,1.0e-18,3.906e+00,100.00000000,20.00041628,27.83826400,-0.54083572,29118,2.912e-14,10.9927005768,100.00000000,20.00042228,5.04047683,0.00000000,2.1739671875e-14
1000,256,5.0e-18,3.906e+00,100.00000000,20.00589173,27.84194019,-0.54084777,5826,2.913e-14,2.2056262493,100.00000000,20.00588470,5.04048784,-0.00000000,2.1742640625e-14
1000,256,1.0e-17,3.906e+00,100.00000000,20.00582967,27.84186237,-0.54085684,2914,2.914e-14,1.1012661457,100.00000000,20.00582720,5.04048772,0.00000000,2.1742609375e-14
1000,256,5.0e-17,3.906e+00,100.00000000,20.04505657,27.86712860,-0.54121541,585,2.925e-14,0.2316586971,100.00000000,20.04505602,5.04056685,-0.00000000,2.1763929687e-14
1000,256,1.0e-16,3.906e+00,100.00000000,20.10752528,27.90559638,-0.54223464,294,2.940e-14,0.1410002708,100.00000000,20.10752887,5.04069301,0.00000000,2.1797882812e-14
1000,256,5.0e-16,3.906e+00,100.00000000,20.32139930,27.93754599,-0.57093299,61,3.050e-14,0.0394573212,100.00000000,20.32139705,5.04112637,-0.00000000,2.1914117187e-14
1000,512,1.0e-19,1.953e+00,100.00000000,20.00008579,26.97889653,-0.15631091,243184,2.432e-14,202.4424276352,100.00000000,20.00007729,5.04047613,-0.00000000,2.1739484375e-14
1000,512,5.0e-19,1.953e+00,100.00000000,20.00057895,26.97921747,-0.15631122,48639,2.432e-14,39.2796308994,100.00000000,20.00058040,5.04047715,-0.00000000,2.1739757812e-14
1000,512,1.0e-18,1.953e+00,100.00000000,20.00140044,26.97975168,-0.15631184,24321,2.432e-14,20.8390271664,100.00000000,20.00139977,5.04047880,-0.00000000,2.1740203125e-14
1000,512,5.0e-18,1.953e+00,100.00000000,20.00301538,26.98077700,-0.15631939,4866,2.433e-14,4.2024827003,100.00000000,20.00300974,5.04048205,-0.00000000,2.1741078125e-14
1000,512,1.0e-17,1.953e+00,100.00000000,20.00292188,26.98063329,-0.15634039,2434,2.434e-14,2.2308113575,100.00000000,20.00292349,5.04048187,0.00000000,2.1741031250e-14
1000,512,5.0e-17,1.953e+00,100.00000000,20.04927261,27.00817056,-0.15703664,489,2.445e-14,0.5138742924,100.00000000,20.04926783,5.04057535,0.00000000,2.1766218750e-14
1000,512,1.0e-16,1.953e+00,100.00000000,20.12214006,27.04734551,-0.15917057,246,2.460e-14,0.2934231758,100.00000000,20.12214803,5.04072256,0.00000000,2.1805828125e-14
1000,1024,1.0e-19,9.766e-01,100.00000000,20.00001949,26.40624861,-0.04094854,227576,2.276e-14,613.5381109715,100.00000000,20.00001979,5.04047602,0.00000000,2.1739453125e-14
1000,1024,5.0e-19,9.766e-01,100.00000000,20.00019491,26.40635992,-0.04094865,45517,2.276e-14,119.6288323402,100.00000000,20.00019228,5.04047637,-0.00000000,2.1739546875e-14
1000,1024,1.0e-18,9.766e-01,100.00000000,20.00107267,26.40691756,-0.04094905,22760,2.276e-14,59.3478226662,100.00000000,20.00106915,5.04047813,-0.00000000,2.1740023437e-14
1000,1024,5.0e-18,9.766e-01,100.00000000,20.00455359,26.40909955,-0.04095820,4554,2.277e-14,13.3070442677,100.00000000,20.00456222,5.04048517,-0.00000000,2.1741921875e-14
1000,1024,1.0e-17,9.766e-01,100.00000000,20.00444600,26.40892616,-0.04098532,2278,2.278e-14,6.9815068245,100.00000000,20.00444722,5.04048494,-0.00000000,2.1741859375e-14
1000,2048,1.0e-19,4.883e-01,100.00000000,2.48181850,5.00000000,0.00000000,124545,1.245e-14,1000.0031273365,100.00000000,2.48181803,5.01282148,0.00000000,1.2218554688e-14
